gid_B73	n_mu	mid	sids	fam	fam_size	fam_idx	gid_W22	map_type	impact	eff	TF45	n.tgt	m.drc	tf.type	eQTL	B_Embryo	B_Endosperm	B_Internode	B_Leaf10	B_Root	B_Shoot	P_Embryo	P_Endosperm	P_Internode	P_Leaf10	P_Root	P_Shoot	W_Embryo	W_Endosperm	W_Internode	W_Leaf10	W_Root	W_Shoot	max_W22_exp
Zm00001d002718	4	mu1013961|mu1031381|mu1037873|mu1089982	UFMu-01467,UFMu-06612|UFMu-02847|UFMu-03250|UFMu-13442	GRAS	81	3	Zm00004b006662	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		9.6	2.6	8.8	24.3	17.6	17.0	10.6	0.3	8.3	22.2	12.3	21.3	9.9	0.6	5.3	24.5	18.3	16.9	9.9
Zm00001d002782	7	mu1014042|mu1037939|mu1040861|mu1047323|mu1047324|mu1059214|mu1085924	UFMu-01797|UFMu-03706|UFMu-04704|UFMu-06090|UFMu-06508|UFMu-07786|UFMu-10967	Trihelix	46	5	Zm00004b006723	One-to-One	moderate	missense_variant	FALSE	21	1	acti		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zm00001d002790	3	mu1026996|mu1073242|mu1076633	UFMu-06541|UFMu-03146|UFMu-09026	GATA	36	1	Zm00004b006729	One-to-One	no_change	NA	FALSE	0	NA	NA		7.0	3.1	27.0	13.6	17.8	9.1	8.0	1.9	9.9	7.8	18.8	10.8	7.7	1.8	9.7	9.0	15.9	9.6	9.7
Zm00001d002801	4	mu1034800|mu1066587|mu1074718|mu1074718	UFMu-03210|UFMu-08329|UFMu-03723|UFMu-12627	Trihelix	46	6	Zm00004b006736	One-to-One	moderate	disruptive_inframe_deletion	FALSE	8	0.75	mix		18.1	28.7	8.1	86.9	22.6	42.8	79.5	65.1	6.2	71.7	20.1	50.3	54.5	147.8	5.7	156.4	21.7	50.2	54.5
Zm00001d002806	2	mu1019440|mu1047347	UFMu-00794|UFMu-06453	DBB	14	1	Zm00004b006740	One-to-One	modifier	intron_variant	FALSE	0	NA	NA		1.0	0.1	1.1	4.8	28.6	3.7	0.8	0.4	1.2	3.9	22.0	3.6	0.3	0.1	0.7	6.2	30.1	8.9	8.9
Zm00001d002811	6	mu1018316|mu1035166|mu1044783|mu1066596|mu1076659|mu1083177	UFMu-01002,UFMu-05566,UFMu-07929|UFMu-03228|UFMu-05917|UFMu-08432|UFMu-09016,UFMu-10825|UFMu-10378	GATA	36	2	Zm00004b006742	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		41.2	27.6	35.4	30.5	33.1	41.2	54.9	26.5	50.7	33.7	46.2	37.2	63.2	32.5	72.3	39.3	31.3	46.2	72.3
Zm00001d002929	1	mu1050285	UFMu-06000	ARF	36	4	Zm00004b006847	One-to-One	modifier	3_prime_UTR_variant	FALSE	0	NA	NA		1.9	0.1	0.4	2.1	0.3	0.1	1.2	0.0	0.6	3.0	0.2	0.3	1.8	0.0	0.2	3.9	0.2	0.3	3.9
Zm00001d002945	5	mu1014132|mu1014132|mu1014133|mu1022780|mu1090229	UFMu-01608,UFMu-05448|UFMu-04119,UFMu-04452,UFMu-10987,UFMu-11225|UFMu-01474|UFMu-01985,UFMu-04864|UFMu-13662	NAC	126	5	Zm00004b006866	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		104.7	79.7	79.9	60.1	92.3	75.2	96.5	94.6	63.9	59.3	97.9	78.7	100.5	84.9	64.3	95.2	111.2	80.2	95.2
Zm00001d003064	1	mu1030200	UFMu-02864	MYB	163	6	Zm00004b006968	One-to-One	low	synonymous_variant	FALSE	9	1	acti		3.9	0.2	19.6	0.7	15.7	4.2	3.1	0.0	45.8	0.8	14.2	9.3	3.6	0.2	52.9	1.1	15.3	6.6	6.6
Zm00001d003180	3	mu1066666|mu1076728|mu1090260	UFMu-08576|UFMu-08925|UFMu-11775	bZIP	128	2	Zm00004b007056	One-to-One	moderate	disruptive_inframe_deletion	FALSE	1	1	acti		28.9	8.2	1.0	6.5	11.9	14.0	25.1	8.5	1.2	2.3	13.0	16.6	24.3	4.9	0.3	6.3	11.7	13.6	6.3
Zm00001d003331	2	mu1034641|mu1086000	UFMu-03261|UFMu-10639	WRKY	121	4	Zm00004b007182	One-to-One	high	stop_gained	FALSE	0	NA	NA		7.9	0.1	0.0	0.2	0.1	1.5	1.6	0.0	0.0	0.4	0.1	0.9	0.4	0.1	0.0	0.6	0.0	1.1	1.1
Zm00001d003549	1	mu1069291	UFMu-08325	Trihelix	46	7	Zm00004b007362	One-to-One	high	frameshift_variant	FALSE	0	NA	NA		1.2	1.2	1.2	0.8	1.8	1.3	2.1	1.2	1.0	0.9	2.3	1.9	0.9	0.4	1.3	1.0	1.7	1.2	1.7
Zm00001d003553	1	mu1047471	UFMu-06236	GRAS	81	4	Zm00004b007366	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		1.0	0.2	0.1	0.1	0.0	0.0	4.8	0.5	0.2	0.6	0.7	4.4	4.2	0.1	0.1	0.1	0.3	2.5	4.2
Zm00001d003601	1	mu1055980	UFMu-07279	ARF	36	6	Zm00004b007398	One-to-One	no_change	NA	FALSE	0	NA	NA	li2013	104.8	35.6	153.3	106.3	113.6	93.9	153.7	66.9	91.6	136.1	132.7	102.8	105.5	91.7	92.6	60.3	115.6	80.8	92.6
Zm00001d003645	1	mu1059324	UFMu-08206	ZF-HD	21	1	Zm00004b007429	One-to-One	moderate	disruptive_inframe_insertion	FALSE	0	NA	NA		9.1	0.1	0.0	0.0	0.0	1.1	18.2	0.1	0.3	0.0	0.0	0.6	11.9	0.1	0.3	0.0	0.0	0.9	11.9
Zm00001d003657	1	mu1007374	UFMu-00317,UFMu-00741	GRAS	81	5	Zm00004b007440	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		0.1	0.1	0.9	0.4	1.0	0.4	0.0	0.1	0.0	0.7	1.0	0.5	0.2	0.0	0.1	0.3	1.0	0.8	1.0
Zm00001d003822	2	mu1043489|mu1090350	UFMu-05345|UFMu-11303	S1Fa-like	2	1	Zm00004b007562	One-to-One	moderate	missense_variant	FALSE	9	0.4074074074074074	mix	wang2018	40.1	173.5	38.6	34.5	35.9	29.2	59.3	100.0	48.8	35.6	38.9	35.1	57.7	140.7	56.8	43.4	45.5	36.2	57.7
Zm00001d003958	6	mu1038074|mu1052541|mu1052541|mu1066737|mu1086033|mu1094590	UFMu-03734|UFMu-06847|UFMu-11120|UFMu-08727|UFMu-11120|UFMu-11281	CAMTA	8	1	Zm00004b007695	One-to-One	moderate	conservative_inframe_insertion	FALSE	18	1	acti		21.5	18.8	165.5	43.2	58.2	30.4	41.3	12.0	102.9	30.0	47.4	32.0	25.6	9.7	77.2	53.1	60.4	25.4	9.7
Zm00001d004086	3	mu1022124|mu1027510|mu1076820	UFMu-02043|UFMu-04570|UFMu-09034,UFMu-11038	WRKY	121	5	Zm00004b007779	One-to-One	moderate	missense_variant	FALSE	37	1	acti		14.2	10.1	38.9	3.9	12.7	14.0	13.2	6.7	24.4	9.2	14.9	16.6	15.9	11.2	28.3	7.5	16.5	16.3	7.5
Zm00001d004512	3	mu1013814|mu1021899|mu1089762	UFMu-00831|UFMu-01796|UFMu-11508	E2F/DP	19	2	Zm00004b008099	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		12.4	14.8	14.3	5.3	8.4	9.5	14.4	18.5	12.2	5.3	8.4	8.2	9.5	10.4	6.7	6.2	7.6	6.8	9.5
Zm00001d004541	1	mu1089769	UFMu-13939	C3H	55	4	Zm00004b008113	One-to-One	moderate	missense_variant	FALSE	7	1	acti		51.5	35.3	36.6	10.8	36.1	27.4	47.7	37.5	30.8	12.6	31.9	26.2	44.9	29.1	26.5	15.0	29.6	26.2	44.9
Zm00001d004651	2	mu1052217|mu1082295	UFMu-07092|UFMu-09464	C3H	55	5	Zm00004b008187	One-to-One	modifier	intron_variant	FALSE	0	NA	NA		12.5	26.3	22.3	36.3	21.5	47.5	16.0	36.5	16.7	33.4	23.8	48.2	11.5	40.3	16.7	25.3	24.3	43.3	43.3
Zm00001d004744	3	mu1007921|mu1052222|mu1052223	UFMu-00459|UFMu-06785|UFMu-06785	MYB	163	8	Zm00004b008258	One-to-One	no_change	NA	FALSE	2	1	acti		2.6	0.0	1.0	6.4	7.6	6.8	2.7	0.0	0.0	19.7	5.0	7.2	2.2	0.0	0.0	47.9	10.6	11.5	47.9
Zm00001d004857	4	mu1008526|mu1047161|mu1055719|mu1089824	UFMu-00167|UFMu-06336|UFMu-07366|UFMu-12521	bZIP	128	3	Zm00004b008336	One-to-One	modifier	intron_variant	FALSE	0	NA	NA		31.7	1.4	95.1	23.4	26.8	19.8	68.2	3.3	93.9	16.9	24.8	18.1	95.0	6.9	132.4	49.8	82.1	63.5	95.0
Zm00001d005005	2	mu1043668|mu1052243	UFMu-04909|UFMu-06715	GATA	36	3	NA	NA	no_change	NA	FALSE	0	NA	NA		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zm00001d005028	1	mu1029117	UFMu-02462	NAC	126	12	Zm00004b008481	One-to-One	low	synonymous_variant	FALSE	1	1	acti		0.1	6.0	0.7	0.1	1.9	0.5	0.6	27.0	1.9	0.1	1.9	0.9	0.2	4.3	1.2	0.0	5.6	1.5	5.6
Zm00001d005029	2	mu1013874|mu1019839	UFMu-01221|UFMu-01078	GRAS	81	6	Zm00004b008482	One-to-One	moderate	missense_variant	FALSE	2	1	acti	liu2017,wang2018	25.3	0.1	6.6	29.4	11.0	57.1	23.7	0.1	1.3	37.7	14.3	54.2	39.5	0.0	2.0	33.9	14.0	52.0	52.0
Zm00001d005100	5	mu1013881|mu1040808|mu1047187|mu1066444|mu1084628	UFMu-01723|UFMu-04576,UFMu-08162|UFMu-06473|UFMu-08275|UFMu-10202	Dof	45	1	Zm00004b008535,Zm00004b008536	Many-to-Many,Many-to-One	high	splice_donor_variant	TRUE	25	1	acti		67.2	307.6	108.0	94.9	116.2	89.2	83.9	219.7	127.9	82.6	132.2	89.3	49.4	259.8	73.6	77.3	84.2	59.9	84.2
Zm00001d005208	8	mu1017612|mu1043661|mu1047199|mu1052257|mu1059093|mu1076497|mu1085854|mu1089875	UFMu-00995|UFMu-05329|UFMu-06503|UFMu-06757|UFMu-07822|UFMu-08917|UFMu-11122|UFMu-11939	NAC	126	13	Zm00004b008605	One-to-One	no_change	NA	FALSE	1	1	acti		16.2	0.9	7.5	3.0	8.2	3.9	16.1	1.0	42.9	4.7	11.0	6.2	17.3	1.2	14.3	1.8	8.8	3.8	8.8
Zm00001d005244	1	mu1059097	UFMu-08022	bZIP	128	4	Zm00004b008626	One-to-One	non-syntenic	missense_variant	FALSE	0	NA	NA		38.2	59.2	30.0	16.4	16.1	18.5	31.5	37.8	23.4	21.6	18.6	20.9	36.9	33.1	24.3	23.4	16.9	16.8	36.9
Zm00001d005323	1	mu1066459	UFMu-08808	C2H2	132	12	Zm00004b008689	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		47.7	21.7	53.1	22.7	44.6	47.2	36.5	13.9	43.4	14.8	35.5	40.1	35.1	15.4	53.0	33.6	42.2	35.9	53.0
Zm00001d005622	1	mu1059118	UFMu-08182	WRKY	121	8	Zm00004b008900	One-to-One	high	frameshift_variant	TRUE	0	NA	NA	liu2017	1.0	0.4	8.7	6.2	2.7	2.0	1.6	0.1	34.2	4.4	3.7	2.4	0.5	0.0	3.1	0.4	2.2	0.6	3.1
Zm00001d005798	2	mu1085879|mu1089946	UFMu-10992|UFMu-11974	ERF	177	16	Zm00004b009050	One-to-One	moderate	disruptive_inframe_deletion	FALSE	28	0.42857142857142855	mix		18.9	13.4	64.0	8.7	35.3	17.3	12.3	4.1	63.4	47.9	41.1	29.6	29.2	6.5	74.6	172.7	46.6	20.7	74.6
Zm00001d005843	1	mu1029086	UFMu-02681	HSF	29	1	Zm00004b009085	One-to-One	moderate	missense_variant	FALSE	24	1	acti		7.6	0.0	0.0	0.0	5.6	7.3	7.5	0.0	0.0	0.0	4.3	4.0	10.9	0.1	0.0	0.1	4.0	5.8	5.8
Zm00001d005865	3	mu1009096|mu1052301|mu1089955	UFMu-00209,UFMu-00817|UFMu-06550|UFMu-12342	GeBP	20	1	Zm00004b009103	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		7.0	6.4	12.4	3.8	8.6	4.4	5.6	5.1	6.7	4.2	10.8	4.3	4.1	2.5	7.4	4.4	8.1	3.1	8.1
Zm00001d005875	1	mu1076549	UFMu-09246	HD-ZIP	60	9	Zm00004b009111	One-to-One	high	frameshift_variant	FALSE	0	NA	NA		12.0	0.1	17.2	0.8	0.0	0.4	6.0	0.0	10.1	0.3	0.0	0.0	3.8	0.0	0.0	0.0	0.0	0.0	3.8
Zm00001d005884	3	mu1013933|mu1066498|mu1080825	UFMu-02021|UFMu-08588,UFMu-11263|UFMu-09656	bZIP	128	6	Zm00004b009120	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		6.5	1.3	22.4	5.3	11.9	9.8	7.5	1.1	18.0	3.7	20.3	8.2	2.5	0.1	12.9	4.6	20.1	5.8	5.8
Zm00001d005892	1	mu1052303	UFMu-06894	ERF	177	17	Zm00004b009125	One-to-One	moderate	missense_variant	FALSE	48	1	acti		3.9	1.9	2.8	0.1	0.7	0.2	13.2	3.1	23.8	0.0	0.1	0.1	8.0	3.7	12.9	0.0	0.1	0.2	8.0
Zm00001d005919	1	mu1040832	UFMu-04413	bHLH	190	13	Zm00004b009150	One-to-One	no_change	NA	FALSE	0	NA	NA		1.0	0.0	0.0	0.0	0.0	0.7	0.9	0.1	0.2	0.0	0.1	0.5	1.0	0.0	0.1	0.0	0.2	1.0	1.0
Zm00001d005931	1	mu1013937	UFMu-01682	ZF-HD	21	3	Zm00004b009160	One-to-One	moderate	conservative_inframe_insertion	FALSE	0	NA	NA		3.1	0.1	0.0	0.7	0.0	2.5	5.1	0.1	0.0	0.4	0.0	2.5	5.5	0.3	0.0	0.0	0.0	1.6	5.5
Zm00001d005939	1	mu1089962	UFMu-11213	bHLH	190	14	Zm00004b009167	One-to-One	moderate	missense_variant	FALSE	7	1	acti		125.0	0.0	0.0	0.1	0.4	4.9	89.2	0.2	0.0	0.0	0.4	2.7	115.6	0.1	0.0	0.0	1.2	2.7	2.7
Zm00001d005951	2	mu1044721|mu1044722	UFMu-05772,UFMu-11021|UFMu-05941	HD-ZIP	60	10	Zm00004b009174	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		16.5	11.8	10.8	32.1	8.3	40.1	14.6	9.5	26.5	32.8	6.2	23.4	21.9	4.9	21.9	66.1	10.7	36.3	66.1
Zm00001d005964	1	mu1018705	UFMu-01166	bHLH	190	15	Zm00004b009182	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		2.7	0.0	0.9	0.4	13.1	5.0	2.6	0.0	1.5	0.7	22.3	3.6	0.4	0.1	2.9	3.3	22.5	6.1	6.1
Zm00001d005969	4	mu1013943|mu1013943|mu1059136|mu1070926	UFMu-02359|UFMu-10596|UFMu-07856|UFMu-02862	bHLH	190	16	Zm00004b009186	One-to-One	moderate	disruptive_inframe_deletion	FALSE	2	0	mix		30.9	9.7	45.1	32.8	44.5	37.1	57.9	14.6	244.8	66.5	43.8	37.2	38.0	16.4	51.0	40.2	40.2	38.0	51.0
Zm00001d006001	1	mu1066503	UFMu-08298	WRKY	121	10	Zm00004b009212	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		9.2	2.9	185.9	17.5	120.0	26.4	12.5	0.8	56.7	12.0	111.0	35.2	16.4	0.6	169.2	6.5	92.1	13.4	92.1
Zm00001d006022	2	mu1055795|mu1066505	UFMu-07239|UFMu-08300	bHLH	190	17	Zm00004b009229	One-to-One	high	stop_gained	FALSE	0	NA	NA		2.2	2.2	0.4	3.2	11.1	6.7	7.0	2.4	0.1	3.7	12.5	9.7	5.3	2.2	3.3	4.1	11.9	8.8	8.8
Zm00001d006028	1	mu1083136	UFMu-10380	SBP	30	2	Zm00004b009235	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		1.0	0.1	0.2	2.7	2.4	4.1	1.5	0.3	0.1	2.0	1.7	3.2	1.2	1.4	0.2	4.6	1.6	4.1	4.6
Zm00001d006065	5	mu1013952|mu1017272|mu1021839|mu1032300|mu1052315	UFMu-02421|UFMu-00578,UFMu-05386|UFMu-01678|UFMu-02510|UFMu-06719	bHLH	190	18	Zm00004b009263	One-to-One	moderate	disruptive_inframe_insertion	FALSE	3	0.3333333333333333	mix		12.2	3.9	3.5	47.2	29.7	25.0	14.2	2.3	3.2	32.9	27.5	39.7	27.5	3.7	10.6	55.2	45.0	52.1	55.2
Zm00001d006091	9	mu1005982|mu1008531|mu1021289|mu1021289|mu1037878|mu1070185|mu1070932|mu1083137|mu1094489	UFMu-00274,UFMu-04186|UFMu-00298|UFMu-01283,UFMu-10309|UFMu-07105|UFMu-02510|UFMu-02631|UFMu-02510,UFMu-09544|UFMu-10309|UFMu-12061	SBP	30	3	Zm00004b009290	One-to-One	moderate	missense_variant	FALSE	3	1	acti		1.1	0.4	1.8	3.3	0.3	2.7	1.6	1.4	0.0	0.6	0.3	1.6	1.0	0.7	0.5	1.4	0.5	2.1	2.1
Zm00001d006106	1	mu1013954	UFMu-01896	NAC	126	15	Zm00004b009301	One-to-One	no_change	NA	FALSE	0	NA	NA		0.2	0.1	29.7	2.8	2.0	2.4	0.7	0.0	34.5	1.6	1.5	1.8	0.1	0.0	14.5	13.2	0.8	1.4	14.5
Zm00001d006110	2	mu1013955|mu1066509	UFMu-02022|UFMu-08801	bHLH	190	19	Zm00004b009304	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0	NA	NA		3.1	0.0	0.0	1.7	0.2	13.1	2.1	0.0	0.1	7.5	34.1	21.5	2.9	0.0	0.0	2.9	13.4	23.7	23.7
Zm00001d006127	2	mu1022690|mu1037887	UFMu-01952,UFMu-06854|UFMu-02512	bZIP	128	9	Zm00004b009318	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		28.7	14.1	50.7	30.9	30.2	28.5	27.1	25.3	31.5	19.5	26.2	20.4	26.7	30.4	35.2	29.1	28.0	21.6	35.2
Zm00001d006157	1	mu1030198	UFMu-02836	bZIP	128	10	Zm00004b009342	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0	NA	NA		0.2	25.5	0.0	0.0	0.0	0.1	0.1	15.0	0.0	0.0	0.1	0.0	0.2	18.5	0.0	0.0	0.0	0.1	18.5
Zm00001d006165	1	mu1094495	UFMu-11189	TCP	42	5	Zm00004b009350	One-to-One	no_change	NA	FALSE	0	NA	NA		1.9	1.1	1.4	0.1	2.7	1.0	1.6	3.6	1.2	0.4	4.5	2.2	1.3	1.1	1.0	0.2	3.0	0.8	3.0
Zm00001d006195	1	mu1076573	UFMu-09397	HD-ZIP	60	11	Zm00004b009378	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		0.0	0.0	4.7	0.0	5.1	11.1	0.1	0.5	2.8	0.0	4.2	7.4	0.1	0.3	9.6	0.0	6.1	9.8	9.8
Zm00001d006198	1	mu1080831	UFMu-09463	DBB	14	3	Zm00004b009385	One-to-One	low	synonymous_variant	FALSE	1	1	acti		17.3	6.7	69.3	39.6	62.1	71.3	16.8	11.8	69.0	27.8	108.0	73.2	23.3	6.2	125.6	40.0	83.6	68.2	83.6
Zm00001d006209	1	mu1055815	UFMu-07326	SRS	9	1	Zm00004b009396	One-to-One	no_change	NA	FALSE	1	1	acti		14.1	0.7	0.0	0.0	1.9	1.8	7.5	0.1	0.0	0.1	1.6	1.1	17.7	0.0	0.0	0.0	1.4	1.1	17.7
Zm00001d006293	3	mu1007743|mu1030337|mu1043614	UFMu-00401|UFMu-02835|UFMu-05142	Nin-like	17	3	Zm00004b009450	One-to-One	modifier	intron_variant	FALSE	5	1	acti		15.8	2.6	2.7	11.5	25.0	23.2	32.1	3.3	3.5	5.5	24.4	17.7	24.5	1.6	6.8	13.3	20.2	14.9	6.8
Zm00001d006319	1	mu1037895	UFMu-03778	C2H2	132	19	Zm00004b009465	One-to-One	non-syntenic	missense_variant	FALSE	0	NA	NA		0.8	175.9	0.0	0.0	0.1	0.1	0.4	217.5	0.0	0.0	1.3	0.1	0.9	212.6	0.1	0.0	0.0	0.0	212.6
Zm00001d006331	3	mu1021777|mu1043609|mu1090021	UFMu-01233|UFMu-05273,UFMu-07146|UFMu-13993	Trihelix	46	9	Zm00004b009480	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		9.4	4.1	7.2	1.4	6.2	2.6	29.4	6.6	25.2	1.0	6.8	3.7	28.6	5.6	7.6	2.3	5.4	2.5	7.6
