gid	n_mu	mid	sids	tf	ttype	impact	eff	de_BM
ENSRNA049479006	1	mu1073399	UFMu-03626,UFMu-05857	FALSE	rRNA	non-syntenic	NA	0
ENSRNA049479390	1	mu1083963	UFMu-09994,UFMu-11784	FALSE	pre_miRNA	no_change	NA	0
ENSRNA049479461	1	mu1068137	UFMu-08797	FALSE	snoRNA	no_change	NA	0
ENSRNA049479546	1	mu1058963	UFMu-08215	FALSE	rRNA	non-syntenic	NA	0
ENSRNA049479579	1	mu1073405	UFMu-03257	FALSE	rRNA	non-syntenic	NA	0
ENSRNA049479884	1	mu1073411	UFMu-03257	FALSE	rRNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000002	1	mu1083042	UFMu-10403	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000004	1	mu1030708	UFMu-02642	FALSE	mRNA	modifier	intron_variant	0
Zm00001d000005	>=3	mu1013179|mu1013179|mu1050578|mu1070874|mu1083041|mu1089648|mu1089649	UFMu-02201|UFMu-05485|UFMu-06420|UFMu-02628|UFMu-10388,UFMu-11113|UFMu-11982|UFMu-13835	FALSE	mRNA	modifier	5_prime_UTR_variant	0
Zm00001d000011	1	mu1050302	UFMu-06464	FALSE	mRNA	non-syntenic	missense_variant	0
Zm00001d000021	1	mu1035243	UFMu-03302	FALSE	mRNA	high	splice_donor_variant	0
Zm00001d000023	>=3	mu1047043|mu1047044|mu1082276	UFMu-06276|UFMu-06408|UFMu-09457,UFMu-09994	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000027	2	mu1037544|mu1055474	UFMu-04157|UFMu-07172	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000029	>=3	mu1031289|mu1034701|mu1054647|mu1093665	UFMu-02848,UFMu-03490,UFMu-07270|UFMu-03254|UFMu-06784|UFMu-11235	FALSE	mRNA	high	stop_gained	0
Zm00001d000030	2	mu1040156|mu1058077	UFMu-04109,UFMu-04418,UFMu-05380,UFMu-06584|UFMu-07239	FALSE	mRNA	high	splice_donor_variant	0
Zm00001d000034	>=3	mu1016513|mu1016513|mu1049870|mu1068755	UFMu-02196,UFMu-03455|UFMu-06305,UFMu-07569,UFMu-08004|UFMu-06282|UFMu-08597	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000038	>=3	mu1008257|mu1049869|mu1054645|mu1068754|mu1080143|mu1093662	UFMu-00281,UFMu-01015|UFMu-06455|UFMu-06686|UFMu-08361|UFMu-09139|UFMu-12035	FALSE	mRNA	non-syntenic	missense_variant	0
Zm00001d000039	2	mu1029866|mu1078834	UFMu-02877|UFMu-09026	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000040	1	mu1041897	UFMu-04648	FALSE	mRNA	high	stop_lost	0
Zm00001d000042	>=3	mu1040154|mu1040155|mu1050696|mu1054643|mu1061243|mu1069932|mu1080142|mu1087358|mu1093659|mu1093660	UFMu-03700,UFMu-04886|UFMu-03270,UFMu-04886,UFMu-05383|UFMu-06453|UFMu-06863|UFMu-08162|UFMu-08329|UFMu-09345,UFMu-10379|UFMu-11085|UFMu-11434|UFMu-11159	FALSE	mRNA	non-syntenic	frameshift_variant	0
Zm00001d000045	2	mu1016510|mu1040153	UFMu-01558,UFMu-10832,UFMu-12110,UFMu-13360,UFMu-13669|UFMu-04164	TRUE	mRNA	moderate	missense_variant	0
Zm00001d000046	>=3	mu1016509|mu1054641|mu1054641|mu1054642|mu1081993|mu1088157	UFMu-01558|UFMu-06756|UFMu-09986|UFMu-06716|UFMu-09464|UFMu-10994	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000052	1	mu1068750	UFMu-08561	FALSE	mRNA	modifier	5_prime_UTR_variant	0
Zm00001d000053	>=3	mu1017392|mu1017392|mu1040151|mu1040152|mu1058072	UFMu-01026,UFMu-02353|UFMu-04994,UFMu-05579|UFMu-02921|UFMu-04179|UFMu-07137	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000065	1	mu1019564	UFMu-00717	FALSE	mRNA	no_change	NA	0
Zm00001d000071	1	mu1081797	UFMu-09600	FALSE	mRNA	non-syntenic	missense_variant	0
Zm00001d000072	1	mu1023488	UFMu-02263	FALSE	mRNA	non-syntenic	splice_acceptor_variant	0
Zm00001d000074	1	mu1059660	UFMu-07791,UFMu-13183	FALSE	mRNA	modifier	3_prime_UTR_variant	0
Zm00001d000076	>=3	mu1014465|mu1014466|mu1043370|mu1047748|mu1052764|mu1070249|mu1090704	UFMu-01702|UFMu-13050|UFMu-04817|UFMu-06124|UFMu-06545,UFMu-07588,UFMu-09464,UFMu-13050|UFMu-02555|UFMu-12275	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000080	>=3	mu1014569|mu1034740|mu1047881|mu1071801|mu1087820	UFMu-00675,UFMu-01231,UFMu-10563,UFMu-11001,UFMu-11688|UFMu-03492|UFMu-06322|UFMu-01863|UFMu-11114	FALSE	mRNA	high	frameshift_variant	0
Zm00001d000085	1	mu1032998	UFMu-03253	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000087	2	mu1029031|mu1090704	UFMu-02555|UFMu-12275	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000096	>=3	mu1039748|mu1041118|mu1065366|mu1073678	UFMu-04042|UFMu-04635|UFMu-00867|UFMu-04791	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000099	>=3	mu1006571|mu1051064|mu1084795	UFMu-00434|UFMu-06523|UFMu-10402	FALSE	mRNA	modifier	intron_variant	0
Zm00001d000116	2	mu1038606|mu1041199	UFMu-02730|UFMu-04765	FALSE	mRNA	high	frameshift_variant	0
Zm00001d000122	>=3	mu1032615|mu1032615|mu1070984|mu1076791|mu1090360	UFMu-02557|UFMu-11257|UFMu-02510|UFMu-09101|UFMu-13149	FALSE	mRNA	high	frameshift_variant	0
Zm00001d000123	>=3	mu1044859|mu1052522|mu1076790|mu1079414|mu1086027	UFMu-05547|UFMu-06551,UFMu-09479,UFMu-10620,UFMu-11262|UFMu-09012|UFMu-03795,UFMu-05547,UFMu-09283|UFMu-11119	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000124	1	mu1047493	UFMu-06528	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000126	1	mu1090358	UFMu-12267	FALSE	mRNA	moderate	conservative_inframe_deletion	0
Zm00001d000133	1	mu1034734	UFMu-03466	FALSE	mRNA	high	frameshift_variant	0
Zm00001d000135	1	mu1034861	UFMu-03291	FALSE	mRNA	no_change	NA	0
Zm00001d000147	2	mu1044152|mu1084415	UFMu-04869|UFMu-10231,UFMu-12103	FALSE	mRNA	high	frameshift_variant	0
Zm00001d000150	1	mu1004245	UFMu-00253	FALSE	mRNA	modifier	3_prime_UTR_variant	0
Zm00001d000152	>=3	mu1004406|mu1029031|mu1038257|mu1069377	UFMu-00214|UFMu-02555|UFMu-03722|UFMu-08760,UFMu-09464	FALSE	mRNA	no_change	NA	0
Zm00001d000153	2	mu1077116|mu1081081	UFMu-09252|UFMu-09492	FALSE	mRNA	low	splice_region_variant	0
Zm00001d000156	1	mu1077115	UFMu-09031	FALSE	mRNA	no_change	NA	0
Zm00001d000160	1	mu1045169	UFMu-05698	FALSE	mRNA	no_change	NA	0
Zm00001d000166	>=3	mu1018697|mu1031356|mu1048003	UFMu-00795|UFMu-02818,UFMu-06035|UFMu-06211	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000168	>=3	mu1019694|mu1030136|mu1077244	UFMu-01110|UFMu-02845|UFMu-08988	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000169	>=3	mu1043230|mu1056426|mu1067150|mu1073960	UFMu-04886|UFMu-07375|UFMu-08586|UFMu-04595	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000170	>=3	mu1059724|mu1069420|mu1086331	UFMu-07768|UFMu-08819|UFMu-10963	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000178	>=3	mu1049874|mu1078835|mu1093671|mu1093672|mu1095539	UFMu-06185|UFMu-09389|UFMu-12396|UFMu-11329|UFMu-13808	FALSE	mRNA	modifier	intron_variant	0
Zm00001d000179	1	mu1009911	UFMu-00252	TRUE	mRNA	no_change	NA	0
Zm00001d000184	>=3	mu1009472|mu1016514|mu1025109|mu1040157|mu1054648|mu1054649	UFMu-00357|UFMu-02125|UFMu-02125|UFMu-04186|UFMu-06922|UFMu-06922	TRUE	mRNA	moderate	missense_variant	0
Zm00001d000191	1	mu1029099	UFMu-02672,UFMu-06536,UFMu-13982	FALSE	mRNA	low	splice_region_variant	0
Zm00001d000195	1	mu1048874	UFMu-06497	FALSE	mRNA	high	splice_donor_variant	0
Zm00001d000197	1	mu1048873	UFMu-06512	FALSE	mRNA	moderate	disruptive_inframe_deletion	0
Zm00001d000199	>=3	mu1030634|mu1039245|mu1039246	UFMu-02693|UFMu-03865|UFMu-03204	FALSE	mRNA	low	synonymous_variant	0
Zm00001d000202	2	mu1031172|mu1067554	UFMu-02834,UFMu-03200|UFMu-08771	FALSE	mRNA	no_change	NA	0
Zm00001d000205	2	mu1033401|mu1058264	UFMu-03624,UFMu-05858|UFMu-07245	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000213	1	mu1093924	UFMu-11612	FALSE	mRNA	modifier	intron_variant	0
Zm00001d000220	2	mu1030251|mu1035071	UFMu-02559|UFMu-03349	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000223	2	mu1052682|mu1056139	UFMu-06546|UFMu-07387	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000224	1	mu1017650	UFMu-00986	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000226	>=3	mu1016206|mu1062106|mu1062107|mu1084123	UFMu-01890|UFMu-08336,UFMu-09019,UFMu-11278|UFMu-08336|UFMu-10343	FALSE	mRNA	non-syntenic	5_prime_UTR_variant	0
Zm00001d000230	>=3	mu1050622|mu1050622|mu1058430|mu1075811	UFMu-06266|UFMu-10568|UFMu-07863|UFMu-08917	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000233	1	mu1088622	UFMu-13498	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000293	1	mu1057777	UFMu-07437	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000294	1	mu1036033	UFMu-03077,UFMu-07380	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000299	1	mu1067293	UFMu-08317	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000301	2	mu1022985|mu1056599	UFMu-02232,UFMu-06802|UFMu-07472	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000302	>=3	mu1028416|mu1067330|mu1067331|mu1077405|mu1087864|mu1091325	UFMu-01646|UFMu-08741|UFMu-08330|UFMu-09100|UFMu-10891|UFMu-11934	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000307	>=3	mu1034494|mu1082446|mu1091324	UFMu-03510,UFMu-04986|UFMu-09509|UFMu-13063	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000310	2	mu1039308|mu1045578	UFMu-03228,UFMu-06570|UFMu-05837	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000311	2	mu1033312|mu1045579	UFMu-02628|UFMu-05616	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000312	2	mu1024132|mu1050871	UFMu-06498|UFMu-06518	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000316	1	mu1041117	UFMu-04383	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000320	>=3	mu1015890|mu1022801|mu1039599|mu1049250|mu1049250|mu1075621|mu1080247	UFMu-02265|UFMu-02265,UFMu-02682|UFMu-02631,UFMu-03234|UFMu-06512|UFMu-10975|UFMu-05693|UFMu-00767	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000328	>=3	mu1013675|mu1051415|mu1066043	UFMu-01531|UFMu-06266|UFMu-08619	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000345	>=3	mu1042659|mu1074435|mu1092369|mu1092370	UFMu-05282|UFMu-03733,UFMu-05693,UFMu-10403|UFMu-11720|UFMu-12081,UFMu-12534	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000346	>=3	mu1014742|mu1045126|mu1059753	UFMu-02350,UFMu-05128|UFMu-05547|UFMu-08240	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000350	1	mu1037702	UFMu-03734	FALSE	mRNA	modifier	intron_variant	0
Zm00001d000357	1	mu1061211	UFMu-07907	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000358	2	mu1092558|mu1095208	UFMu-13720|UFMu-11173	TRUE	mRNA	non-syntenic	NA	0
Zm00001d000360	2	mu1042595|mu1060588	UFMu-04900|UFMu-07955	FALSE	mRNA	moderate	missense_variant	0
Zm00001d000361	>=3	mu1068125|mu1068131|mu1068132|mu1069717|mu1085070|mu1085070	UFMu-08804|UFMu-08588,UFMu-09028,UFMu-10960,UFMu-11265|UFMu-08265|UFMu-08736|UFMu-10188|UFMu-12455	TRUE	mRNA	low	splice_region_variant	0
Zm00001d000370	1	mu1056327	UFMu-07322	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000377	>=3	mu1040888|mu1059271|mu1059272	UFMu-04454|UFMu-07825|UFMu-08145	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000380	>=3	mu1030162|mu1043218|mu1050257|mu1059734|mu1083478|mu1083479|mu1084810	UFMu-03036,UFMu-05717,UFMu-06322|UFMu-04933|UFMu-06322|UFMu-08203|UFMu-10407|UFMu-10563|UFMu-10384	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000381	>=3	mu1048020|mu1048021|mu1083477|mu1091106	UFMu-06119,UFMu-10102|UFMu-06265|UFMu-10102|UFMu-11306	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000390	1	mu1040188	UFMu-03800	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000391	2	mu1049898|mu1078861	UFMu-05977|UFMu-09283	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000396	2	mu1022233|mu1057769	UFMu-01867|UFMu-07315	FALSE	mRNA	no_change	NA	0
Zm00001d000402	1	mu1053308	UFMu-06714	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000408	>=3	mu1017576|mu1021497|mu1030834|mu1085316|mu1085316	UFMu-00800|UFMu-01280|UFMu-02667,UFMu-03191,UFMu-05547|UFMu-10324|UFMu-11658	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000410	1	mu1066821	UFMu-08292	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000411	1	mu1052626	UFMu-06547,UFMu-07293	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000424	>=3	mu1030726|mu1031059|mu1031059|mu1035414|mu1060528|mu1086862|mu1092441	UFMu-02634|UFMu-02537|UFMu-05983|UFMu-03291|UFMu-08014|UFMu-10620|UFMu-11337	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000428	2	mu1054622|mu1093622	UFMu-06963|UFMu-13648	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000430	>=3	mu1040128|mu1058054|mu1075677	UFMu-03877,UFMu-04826,UFMu-06332|UFMu-07189|UFMu-05837	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000432	1	mu1037257	UFMu-03700	FALSE	mRNA	no_change	NA	0
Zm00001d000436	>=3	mu1007772|mu1032197|mu1054078|mu1054079|mu1060693	UFMu-00017|UFMu-02662|UFMu-06847|UFMu-06953|UFMu-08030	FALSE	mRNA	non-syntenic	NA	0
Zm00001d000439	>=3	mu1023862|mu1023862|mu1066409	UFMu-00907,UFMu-05329|UFMu-12400|UFMu-08802	FALSE	mRNA	modifier	intron_variant	0
Zm00001d000443	>=3	mu1020113|mu1043679|mu1043680|mu1043680|mu1059070|mu1089804	UFMu-00657|UFMu-04895|UFMu-04895|UFMu-06524,UFMu-07433|UFMu-07804|UFMu-11271	FALSE	mRNA	no_change	NA	0
Zm00001d000485	1	mu1086186	UFMu-10814	FALSE	lnc_RNA	modifier	intron_variant	0
Zm00001d000497	2	mu1018964|mu1081083	UFMu-01116|UFMu-09431	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000498	2	mu1018964|mu1081083	UFMu-01116|UFMu-09431	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000499	1	mu1018964	UFMu-01116	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000500	2	mu1018964|mu1081083	UFMu-01116|UFMu-09431	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000533	>=3	mu1067047|mu1077157|mu1090928	UFMu-08346|UFMu-09212,UFMu-12747|UFMu-12023	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000545	2	mu1009297|mu1038419	UFMu-00076,UFMu-02899|UFMu-02888	FALSE	lnc_RNA	modifier	intron_variant	0
Zm00001d000558	1	mu1038427	UFMu-03655	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000589	1	mu1090425	UFMu-11310	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000593	1	mu1024248	UFMu-01861	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000619	1	mu1043442	UFMu-05113	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000620	1	mu1043442	UFMu-05113	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000640	1	mu1072660	UFMu-03625	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000659	1	mu1090604	UFMu-11874	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000662	>=3	mu1031203|mu1056156|mu1071777	UFMu-02867|UFMu-07228|UFMu-01999	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000676	>=3	mu1007578|mu1017669|mu1069340|mu1069341|mu1090659	UFMu-00253|UFMu-00951|UFMu-08344|UFMu-08678|UFMu-13153	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000689	1	mu1083355	UFMu-10382	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000696	1	mu1086197	UFMu-11115	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000733	1	mu1026923	UFMu-02405	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000737	2	mu1030540|mu1044833	UFMu-03029|UFMu-05893	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000746	2	mu1044853|mu1090334	UFMu-05544|UFMu-13496	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000750	1	mu1017575	UFMu-00820,UFMu-04202	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000776	1	mu1037851	UFMu-04174	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000778	2	mu1037855|mu1083131	UFMu-03428|UFMu-10103	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000792	2	mu1043530|mu1043531	UFMu-04979|UFMu-04979	FALSE	lnc_RNA	low	splice_region_variant	0
Zm00001d000796	1	mu1008960	UFMu-00319	FALSE	lnc_RNA	modifier	intron_variant	0
Zm00001d000801	1	mu1007946	UFMu-00576	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000803	1	mu1038038	UFMu-04174	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000826	1	mu1090342	UFMu-11311	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000831	1	mu1083233	UFMu-10401	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000843	2	mu1069297|mu1086029	UFMu-08660,UFMu-12868|UFMu-11031	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000880	1	mu1059047	UFMu-08182	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000894	2	mu1008251|mu1094438	UFMu-00386|UFMu-12295	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000901	1	mu1073220	UFMu-03464	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d000908	1	mu1051211	UFMu-06517	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000932	1	mu1066412	UFMu-08339	FALSE	lnc_RNA	no_change	NA	0
Zm00001d000950	1	mu1040772	UFMu-04499	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d000998	2	mu1044728|mu1055799	UFMu-05698|UFMu-07481	FALSE	lnc_RNA	non-syntenic	non_coding_transcript_exon_variant	0
Zm00001d000999	2	mu1044728|mu1055799	UFMu-05698|UFMu-07481	FALSE	lnc_RNA	non-syntenic	non_coding_transcript_exon_variant	0
Zm00001d001009	>=3	mu1070940|mu1075414|mu1087717	UFMu-02693|UFMu-05595|UFMu-10992	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001011	>=3	mu1021837|mu1031700|mu1090044	UFMu-01777|UFMu-02983,UFMu-03203,UFMu-08140|UFMu-13462	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001012	>=3	mu1021837|mu1031700|mu1090044	UFMu-01777|UFMu-02983,UFMu-03203,UFMu-08140|UFMu-13462	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001033	1	mu1052390	UFMu-06686	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001038	2	mu1017582|mu1018936	UFMu-00901|UFMu-00970	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001066	>=3	mu1040885|mu1051172|mu1051173|mu1080885	UFMu-04771|UFMu-06522|UFMu-06522|UFMu-09421	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001072	1	mu1042568	UFMu-04969	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001078	2	mu1084062|mu1085136	UFMu-10513|UFMu-10201	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001087	1	mu1081688	UFMu-09482	FALSE	lnc_RNA	low	splice_region_variant	0
Zm00001d001088	2	mu1057464|mu1085079	UFMu-07236|UFMu-10382	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001089	2	mu1024799|mu1024799	UFMu-02402|UFMu-04804,UFMu-05250	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001094	>=3	mu1039592|mu1050403|mu1050403	UFMu-03722|UFMu-06132|UFMu-10623	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001099	1	mu1057643	UFMu-07429	FALSE	lnc_RNA	non-syntenic	splice_region_variant	0
Zm00001d001123	1	mu1049389	UFMu-06433	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001140	2	mu1049399|mu1092992	UFMu-06520|UFMu-12868	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001166	>=3	mu1039747|mu1074884|mu1078470	UFMu-04198|UFMu-03706|UFMu-09179	FALSE	lnc_RNA	non-syntenic	transcript_ablation	0
Zm00001d001183	1	mu1081811	UFMu-09479	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001196	1	mu1083970	UFMu-10539	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001216	1	mu1054013	UFMu-06546	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001217	>=3	mu1041601|mu1060640|mu1079921	UFMu-04332|UFMu-07921|UFMu-09148	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001239	1	mu1039547	UFMu-03727	FALSE	lnc_RNA	non-syntenic	stop_lost	0
Zm00001d001247	>=3	mu1008160|mu1049210|mu1050820	UFMu-00382,UFMu-00675|UFMu-05987|UFMu-05987	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001250	1	mu1069752	UFMu-08326	FALSE	lnc_RNA	low	splice_region_variant	0
Zm00001d001256	1	mu1017673	UFMu-00644	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001263	1	mu1041638	UFMu-04761	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001264	>=3	mu1004435|mu1042518|mu1078325	UFMu-00218|UFMu-05303|UFMu-09247	FALSE	lnc_RNA	low	splice_region_variant	0
Zm00001d001267	>=3	mu1029140|mu1054107|mu1095274	UFMu-02709|UFMu-06542|UFMu-11279	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001269	1	mu1045740	UFMu-05892	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d001277	1	mu1050197	UFMu-06467	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001339	1	mu1045637	UFMu-05780	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001346	1	mu1015697	UFMu-01646	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001347	2	mu1015697|mu1053899	UFMu-01646|UFMu-06676	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001348	1	mu1041568	UFMu-04349	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001355	1	mu1078130	UFMu-09319	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001394	1	mu1092562	UFMu-12706	FALSE	lnc_RNA	no_change	NA	0
Zm00001d001395	2	mu1078188|mu1095209	UFMu-09319|UFMu-12967	FALSE	lnc_RNA	no_change	NA	0
