sorghum3	maize1	maize2
Sobic.001G014800	Zm00001d034833	Zm00001d012858
Sobic.001G014900	Zm00001d034832	
Sobic.001G015000	Zm00001d034830	Zm00001d012859
Sobic.001G015100	Zm00001d034829	
Sobic.001G015200	Zm00001d034828	
Sobic.001G015300	Zm00001d034827	Zm00001d012860
Sobic.001G015400	Zm00001d034826	
Sobic.001G015500		Zm00001d012861
Sobic.001G015600	Zm00001d034822	
Sobic.001G015700	Zm00001d034818	
Sobic.001G015800	Zm00001d034817	
Sobic.001G016000	Zm00001d034814	
Sobic.001G016050		
Sobic.001G016100		Zm00001d012862
Sobic.001G016201		
Sobic.001G016300		Zm00001d012862
Sobic.001G016350		
Sobic.001G016200	Zm00001d034840	
Sobic.001G016400		
Sobic.001G016500		
Sobic.001G016600	Zm00001d034813	
Sobic.001G016700		Zm00001d012863
Sobic.001G016800		
Sobic.001G016900	Zm00001d034809	Zm00001d012865
Sobic.001G017000	Zm00001d034808	
Sobic.001G017100	Zm00001d034807	
Sobic.001G017200	Zm00001d034805	Zm00001d012866
Sobic.001G017300	Zm00001d034804	
Sobic.001G017400	Zm00001d034802	
Sobic.001G017500	Zm00001d034801	
Sobic.001G017600	Zm00001d034799	
Sobic.001G017700	Zm00001d034797	
Sobic.001G017800	Zm00001d034796	
Sobic.001G017900		Zm00001d012867
Sobic.001G018000		Zm00001d012868
Sobic.001G018100		Zm00001d012869
Sobic.001G018200	Zm00001d034795	
Sobic.001G018300		
Sobic.001G018350		Zm00001d012873
Sobic.001G018400		
Sobic.001G018500	Zm00001d034793	Zm00001d012875
Sobic.001G018550		
Sobic.001G018600		
Sobic.001G018700		Zm00001d012873
Sobic.001G018800		
Sobic.001G018900	Zm00001d034790	Zm00001d012878
Sobic.001G019000		
Sobic.001G019100		
Sobic.001G019200		Zm00001d012880
Sobic.001G019300		Zm00001d012881
Sobic.001G019400	Zm00001d034788	Zm00001d012882
Sobic.001G019500	Zm00001d034787	
Sobic.001G019601		
Sobic.001G019700		Zm00001d012883
Sobic.001G019800		Zm00001d012884
Sobic.001G019900		
Sobic.001G020000		
Sobic.001G020100	Zm00001d034784	
Sobic.001G020200	Zm00001d034783	
Sobic.001G020350		
Sobic.001G020500	Zm00001d034781	
Sobic.001G020600	Zm00001d034779	
Sobic.001G020700	Zm00001d034778	
Sobic.001G020800		
Sobic.001G020900		
Sobic.001G021000	Zm00001d034777	
Sobic.001G021100		
Sobic.001G021200	Zm00001d034771	
Sobic.001G021300	Zm00001d034773	
Sobic.001G021400	Zm00001d034771	
Sobic.001G021500	Zm00001d034770	
Sobic.001G021601		
Sobic.001G021700		
Sobic.001G021800		
Sobic.001G021900		Zm00001d012887
Sobic.001G022000		Zm00001d012887
Sobic.001G022100		Zm00001d012888
Sobic.001G022200		Zm00001d012889
Sobic.001G022300		Zm00001d012890
Sobic.001G022400	Zm00001d034763	
Sobic.001G022500	Zm00001d034764	
Sobic.001G022600	Zm00001d034768	
Sobic.001G022700	Zm00001d034769	
Sobic.001G022800	Zm00001d034761	
Sobic.001G022900	Zm00001d034760	
Sobic.001G023000	Zm00001d034759	
Sobic.001G023100	Zm00001d034758	Zm00001d012892
Sobic.001G023200	Zm00001d034757	
Sobic.001G023300	Zm00001d034756	
Sobic.001G023400	Zm00001d034755	Zm00001d012893
Sobic.001G023500	Zm00001d034754	Zm00001d012895
Sobic.001G023600		
Sobic.001G023700	Zm00001d034753	
Sobic.001G023800	Zm00001d034752	Zm00001d012896
Sobic.001G023900	Zm00001d034751	
Sobic.001G024000	Zm00001d034750	
Sobic.001G024100	Zm00001d034749	
Sobic.001G024200		Zm00001d012898
Sobic.001G024250		
Sobic.001G024300	Zm00001d034747	
Sobic.001G024400	Zm00001d034746	
Sobic.001G024500	Zm00001d034745	Zm00001d012899
Sobic.001G024700	Zm00001d034745	Zm00001d012906
Sobic.001G024800	Zm00001d034745	Zm00001d012906
Sobic.001G024900	Zm00001d034741	
Sobic.001G025000		
Sobic.001G025101	Zm00001d034740	Zm00001d012909
Sobic.001G025201		Zm00001d012910
Sobic.001G025300	Zm00001d034740	Zm00001d012909
Sobic.001G025400	Zm00001d034739	
Sobic.001G025500		
Sobic.001G025600		
Sobic.001G025700	Zm00001d034738	
Sobic.001G025800		
Sobic.001G025900	Zm00001d034734	
Sobic.001G026000	Zm00001d034733	
Sobic.001G026100	Zm00001d034732	
Sobic.001G026200		Zm00001d012913
Sobic.001G026300	Zm00001d034731	
Sobic.001G026400		Zm00001d012915
Sobic.001G026500	Zm00001d034730	Zm00001d012916
Sobic.001G026600		
Sobic.001G026700	Zm00001d034729	Zm00001d012917
Sobic.001G026800	Zm00001d034727	
Sobic.001G026900	Zm00001d034726	
Sobic.001G026950		
Sobic.001G027000		
Sobic.001G027100		Zm00001d012918
Sobic.001G027200		Zm00001d012919
Sobic.001G027300	Zm00001d034725	
Sobic.001G027400		Zm00001d012919
Sobic.001G027500	Zm00001d034725	
Sobic.001G027600	Zm00001d034724	
Sobic.001G027700		
Sobic.001G027800	Zm00001d034723	
Sobic.001G027900		
Sobic.001G028000	Zm00001d034722	
Sobic.001G028100	Zm00001d034721	Zm00001d012922
Sobic.001G028200		
Sobic.001G028301		
Sobic.001G028400	Zm00001d034719	Zm00001d012921
Sobic.001G028500	Zm00001d034718	
Sobic.001G028600		Zm00001d012920
Sobic.001G028700	Zm00001d034717	
Sobic.001G028800		Zm00001d012920
Sobic.001G028900		
Sobic.001G029000		
Sobic.001G029100	Zm00001d034715	
Sobic.001G029200	Zm00001d034714	Zm00001d012924
Sobic.001G029300	Zm00001d034713	Zm00001d012925
Sobic.001G029400	Zm00001d034710	
Sobic.001G029500	Zm00001d034706	
Sobic.001G029600	Zm00001d034705	
Sobic.001G029700	Zm00001d034703	Zm00001d012928
Sobic.001G029800	Zm00001d034702	
Sobic.001G029900		Zm00001d012929
Sobic.001G030000	Zm00001d034701	
Sobic.001G030100	Zm00001d034700	
Sobic.001G030200	Zm00001d034699	
Sobic.001G030300	Zm00001d034698	Zm00001d012930
Sobic.001G030400	Zm00001d034689	Zm00001d012931
Sobic.001G030500	Zm00001d034692	
Sobic.001G030600	Zm00001d034692	
Sobic.001G030800	Zm00001d034686	
Sobic.001G030900	Zm00001d034692	
Sobic.001G031000	Zm00001d034686	
Sobic.001G031100	Zm00001d034682	
Sobic.001G031200		Zm00001d012932
Sobic.001G031300		
Sobic.001G031400	Zm00001d034680	Zm00001d012933
Sobic.001G031500		
Sobic.001G031600		Zm00001d012934
Sobic.001G031700	Zm00001d034678	Zm00001d012935
Sobic.001G031800	Zm00001d034677	Zm00001d012936
Sobic.001G031900	Zm00001d034675	Zm00001d012954
Sobic.001G032000	Zm00001d034674	Zm00001d012953
Sobic.001G032100	Zm00001d034673	Zm00001d012939
Sobic.001G032200		Zm00001d012938
Sobic.001G032300	Zm00001d034672	
Sobic.001G032400	Zm00001d034671	
Sobic.001G032550	Zm00001d034669	
Sobic.001G032700	Zm00001d034668	
Sobic.001G032800	Zm00001d034667	Zm00001d012955
Sobic.001G032850		
Sobic.001G032900		Zm00001d012956
Sobic.001G033000	Zm00001d034666	
Sobic.001G033100	Zm00001d034665	
Sobic.001G033200	Zm00001d034664	
Sobic.001G033300	Zm00001d034663	Zm00001d012957
Sobic.001G033400	Zm00001d034662	Zm00001d012958
Sobic.001G033500	Zm00001d034659	Zm00001d012960
Sobic.001G033600		Zm00001d012961
Sobic.001G033701		
Sobic.001G033800		
Sobic.001G033900	Zm00001d034669	
Sobic.001G034000	Zm00001d034669	
Sobic.001G034050		
Sobic.001G034100	Zm00001d034655	Zm00001d012962
Sobic.001G034200		
Sobic.001G034300	Zm00001d034651	Zm00001d012963
Sobic.001G034400		
Sobic.001G034500	Zm00001d034650	Zm00001d012964
Sobic.001G034600	Zm00001d034649	Zm00001d012965
Sobic.001G034700	Zm00001d034644	Zm00001d012966
Sobic.001G034900	Zm00001d034643	
Sobic.001G035000	Zm00001d034642	Zm00001d012967
Sobic.001G035100	Zm00001d034641	Zm00001d012968
Sobic.001G035200	Zm00001d034640	Zm00001d012969
Sobic.001G035300	Zm00001d034639	Zm00001d012967
Sobic.001G035400	Zm00001d034638	
Sobic.001G035450		
Sobic.001G035500	Zm00001d034636	Zm00001d012970
Sobic.001G035600	Zm00001d034635	Zm00001d012972
Sobic.001G035700		
Sobic.001G035800	Zm00001d034634	Zm00001d012973
Sobic.001G035900		
Sobic.001G036050	Zm00001d034633	Zm00001d012974
Sobic.001G036200		Zm00001d012975
Sobic.001G036300	Zm00001d034630	
Sobic.001G036400		
Sobic.001G036600		
Sobic.001G036700		
Sobic.001G036800	Zm00001d034629	
Sobic.001G036900	Zm00001d034628	Zm00001d012978
Sobic.001G037000	Zm00001d034627	Zm00001d012979
Sobic.001G037033		
Sobic.001G037066		
Sobic.001G037100	Zm00001d034624	
Sobic.001G037150		
Sobic.001G037200		
Sobic.001G037300		
Sobic.001G037400		
Sobic.001G037500		
Sobic.001G037550		
Sobic.001G037600		
Sobic.001G037700		
Sobic.001G037800		Zm00001d012980
Sobic.001G037900		Zm00001d012982
Sobic.001G038000	Zm00001d034617	
Sobic.001G038050		
Sobic.001G038100	Zm00001d034618	Zm00001d012984
Sobic.001G038200	Zm00001d034620	
Sobic.001G038300	Zm00001d034621	
Sobic.001G038400		Zm00001d012983
Sobic.001G038450		
Sobic.001G038500		
Sobic.001G038601		
Sobic.001G038700		Zm00001d012988
Sobic.001G038800	Zm00001d034616	
Sobic.001G038900	Zm00001d034615	
Sobic.001G039000	Zm00001d034615	
Sobic.001G039100		Zm00001d012991
Sobic.001G039200	Zm00001d034611	
Sobic.001G039300	Zm00001d034610	
Sobic.001G039400	Zm00001d034609	Zm00001d012992
Sobic.001G039500	Zm00001d034608	
Sobic.001G039600	Zm00001d034607	
Sobic.001G039700	Zm00001d034606	Zm00001d012993
Sobic.001G039750		
Sobic.001G039800	Zm00001d034605	
Sobic.001G039900	Zm00001d034604	Zm00001d012996
Sobic.001G040000		Zm00001d012998
Sobic.001G040100	Zm00001d034602	Zm00001d012999
Sobic.001G040200	Zm00001d034601	Zm00001d013003
Sobic.001G040300	Zm00001d034600	
Sobic.001G040400		Zm00001d013004
Sobic.001G040500		Zm00001d013005
Sobic.001G040600		Zm00001d013006
Sobic.001G040701		
Sobic.001G040800		Zm00001d013007
Sobic.001G040900		
Sobic.001G041000		Zm00001d013008
Sobic.001G041100	Zm00001d034598	Zm00001d013009
Sobic.001G041200		Zm00001d013010
Sobic.001G041300		Zm00001d013011
Sobic.001G041400	Zm00001d034597	Zm00001d013012
Sobic.001G041450		
Sobic.001G041500	Zm00001d034596	
Sobic.001G041600	Zm00001d034595	
Sobic.001G041700	Zm00001d034594	
Sobic.001G041800		Zm00001d013013
Sobic.001G041900	Zm00001d034591	Zm00001d013014
Sobic.001G042000		Zm00001d013015
Sobic.001G042100		
Sobic.001G042200	Zm00001d034590	Zm00001d013019
Sobic.001G042301		
Sobic.001G042400		
Sobic.001G042500	Zm00001d034588	
Sobic.001G042600		
Sobic.001G042700		
Sobic.001G042800	Zm00001d034586	
Sobic.001G042901	Zm00001d034584	Zm00001d013021
Sobic.001G043000		Zm00001d013022
Sobic.001G043100	Zm00001d034582	Zm00001d013023
Sobic.001G043200		
Sobic.001G043300		
Sobic.001G043400	Zm00001d034581	
Sobic.001G043500	Zm00001d034578	
Sobic.001G043601		Zm00001d013025
Sobic.001G043700	Zm00001d034577	Zm00001d013026
Sobic.001G043800	Zm00001d034575	Zm00001d013027
Sobic.001G043900		
Sobic.001G044000	Zm00001d034572	Zm00001d013028
Sobic.001G044100		
Sobic.001G044200		
Sobic.001G044300	Zm00001d034571	
Sobic.001G044400	Zm00001d034569	
Sobic.001G044500	Zm00001d034568	
Sobic.001G044600		Zm00001d013029
Sobic.001G044700	Zm00001d034563	
Sobic.001G044800	Zm00001d034564	
Sobic.001G044900	Zm00001d034565	
Sobic.001G045000	Zm00001d034562	Zm00001d013030
Sobic.001G045100		
Sobic.001G045300	Zm00001d034560	
Sobic.001G045400	Zm00001d034559	Zm00001d013032
Sobic.001G045500		
Sobic.001G045600	Zm00001d034558	
Sobic.001G045700	Zm00001d034553	
Sobic.001G045800	Zm00001d034552	Zm00001d013032
Sobic.001G045900	Zm00001d034551	Zm00001d013032
Sobic.001G046000		Zm00001d013033
Sobic.001G046100	Zm00001d034550	Zm00001d013034
Sobic.001G046200		
Sobic.001G046300	Zm00001d034550	Zm00001d013034
Sobic.001G046400	Zm00001d034547	
Sobic.001G046500		Zm00001d013035
Sobic.001G046600		Zm00001d013035
Sobic.001G046700		Zm00001d013035
Sobic.001G046800	Zm00001d034546	Zm00001d013038
Sobic.001G046900	Zm00001d034543	Zm00001d013039
Sobic.001G047000	Zm00001d034534	
Sobic.001G047100		Zm00001d013040
Sobic.001G047200	Zm00001d034533	
Sobic.001G047400	Zm00001d034532	
Sobic.001G047500		
Sobic.001G047600	Zm00001d034531	
Sobic.001G047700	Zm00001d034529	
Sobic.001G047800	Zm00001d034528	Zm00001d013041
Sobic.001G047900	Zm00001d034527	Zm00001d013042
Sobic.001G048000	Zm00001d034526	
Sobic.001G048100	Zm00001d034525	Zm00001d013043
Sobic.001G048200	Zm00001d034524	
Sobic.001G048300		
Sobic.001G048400	Zm00001d034523	
Sobic.001G048500	Zm00001d034523	
Sobic.001G048600	Zm00001d034523	
Sobic.001G048700	Zm00001d034522	
Sobic.001G048766	Zm00001d034521	Zm00001d013045
Sobic.001G048832	Zm00001d034520	Zm00001d013045
Sobic.001G048900		
Sobic.001G049000		
Sobic.001G049200	Zm00001d034519	
Sobic.001G049300	Zm00001d034518	Zm00001d013046
Sobic.001G049400	Zm00001d034517	Zm00001d013047
Sobic.001G049500		
Sobic.001G049600	Zm00001d034516	Zm00001d013048
Sobic.001G049700		
Sobic.001G049800	Zm00001d034515	
Sobic.001G049900		
Sobic.001G050000		
Sobic.001G050100	Zm00001d034514	
Sobic.001G050200		Zm00001d013049
Sobic.001G050300	Zm00001d034513	
Sobic.001G050400	Zm00001d034512	Zm00001d013050
Sobic.001G050500	Zm00001d034511	Zm00001d013052
Sobic.001G050600	Zm00001d034510	
Sobic.001G050650		
Sobic.001G050700	Zm00001d034509	
Sobic.001G050800	Zm00001d034508	Zm00001d013052
Sobic.001G050900		Zm00001d013053
Sobic.001G051100	Zm00001d034506	
Sobic.001G051200	Zm00001d034505	Zm00001d013055
Sobic.001G051300	Zm00001d034503	
Sobic.001G051400	Zm00001d034502	
Sobic.001G051500		Zm00001d013056
Sobic.001G051600	Zm00001d034501	
Sobic.001G051700	Zm00001d034498	
Sobic.001G051800	Zm00001d034497	
Sobic.001G052000		
Sobic.001G052100	Zm00001d034496	
Sobic.001G052200	Zm00001d034495	
Sobic.001G052300	Zm00001d034494	Zm00001d013057
Sobic.001G052350		
Sobic.001G052400		Zm00001d013058
Sobic.001G052500		
Sobic.001G052600	Zm00001d034493	
Sobic.001G052700	Zm00001d034492	Zm00001d013059
Sobic.001G052800		Zm00001d013060
Sobic.001G052900	Zm00001d034491	
Sobic.001G053000		Zm00001d013061
Sobic.001G053100		
Sobic.001G053200		
Sobic.001G053350		
Sobic.001G053500		
Sobic.001G053601		
Sobic.001G053700		Zm00001d013063
Sobic.001G053800	Zm00001d034490	
Sobic.001G053900	Zm00001d034488	
Sobic.001G054000	Zm00001d034487	
Sobic.001G054050		
Sobic.001G054100	Zm00001d034486	
Sobic.001G054200	Zm00001d034485	
Sobic.001G054300	Zm00001d034484	
Sobic.001G054400	Zm00001d034483	
Sobic.001G054500	Zm00001d034482	
Sobic.001G054600		
Sobic.001G054700	Zm00001d034480	Zm00001d013065
Sobic.001G054800	Zm00001d034479	Zm00001d013066
Sobic.001G054900		
Sobic.001G055100		
Sobic.001G055300		
Sobic.001G055400	Zm00001d034475	
Sobic.001G055600	Zm00001d034469	Zm00001d013069
Sobic.001G055700		
Sobic.001G055800		
Sobic.001G055900	Zm00001d034468	
Sobic.001G056000	Zm00001d034467	Zm00001d013070
Sobic.001G056100	Zm00001d034463	Zm00001d013071
Sobic.001G056200	Zm00001d034462	Zm00001d013072
Sobic.001G056300		Zm00001d013073
Sobic.001G056400	Zm00001d034453	
Sobic.001G056500	Zm00001d034453	
Sobic.001G056601	Zm00001d034460	
Sobic.001G056700	Zm00001d034457	Zm00001d013074
Sobic.001G056800	Zm00001d034446	Zm00001d013075
Sobic.001G056900		
Sobic.001G057100	Zm00001d034444	
Sobic.001G057200	Zm00001d034443	
Sobic.001G057300	Zm00001d034440	Zm00001d013076
Sobic.001G057400	Zm00001d034439	Zm00001d013077
Sobic.001G057500	Zm00001d034435	
Sobic.001G057600	Zm00001d034433	
Sobic.001G057700	Zm00001d034433	
Sobic.001G057800	Zm00001d034432	Zm00001d013078
Sobic.001G057900	Zm00001d034431	
Sobic.001G058000		
Sobic.001G058100	Zm00001d034429	Zm00001d013079
Sobic.001G058200	Zm00001d034428	
Sobic.001G058300	Zm00001d034427	Zm00001d013080
Sobic.001G058400		Zm00001d013081
Sobic.001G058500	Zm00001d034425	Zm00001d013082
Sobic.001G058600	Zm00001d034424	
Sobic.001G058700		Zm00001d013083
Sobic.001G058800		
Sobic.001G058900	Zm00001d034422	Zm00001d013086
Sobic.001G059001		
Sobic.001G059100	Zm00001d034420	
Sobic.001G059150	Zm00001d034419	Zm00001d013087
Sobic.001G059200		
Sobic.001G059300	Zm00001d034419	Zm00001d013087
Sobic.001G059400	Zm00001d034418	Zm00001d013087
Sobic.001G059500	Zm00001d034416	
Sobic.001G059600	Zm00001d034415	
Sobic.001G059700	Zm00001d034414	Zm00001d013089
Sobic.001G059800	Zm00001d034413	
Sobic.001G059900	Zm00001d034410	Zm00001d013090
Sobic.001G060001		
Sobic.001G060100		
Sobic.001G060200		
Sobic.001G060300	Zm00001d034409	
Sobic.001G060401		
Sobic.001G060500		
Sobic.001G060600		Zm00001d013091
Sobic.001G060666		
Sobic.001G060732		
Sobic.001G060800		Zm00001d013091
Sobic.001G060900		
Sobic.001G061000		
Sobic.001G061101	Zm00001d034407	
Sobic.001G061200	Zm00001d034406	
Sobic.001G061300		
Sobic.001G061400	Zm00001d034405	
Sobic.001G061500	Zm00001d034404	Zm00001d013092
Sobic.001G061600	Zm00001d034401	Zm00001d013093
Sobic.001G061700	Zm00001d034400	Zm00001d013094
Sobic.001G061800	Zm00001d034399	Zm00001d013095
Sobic.001G061900		Zm00001d013097
Sobic.001G062000		
Sobic.001G062066	Zm00001d034396	
Sobic.001G062132	Zm00001d034396	
Sobic.001G062200	Zm00001d034389	
Sobic.001G062250		
Sobic.001G062300	Zm00001d034388	Zm00001d013098
Sobic.001G062400		
Sobic.001G062500	Zm00001d034388	Zm00001d013098
Sobic.001G062600	Zm00001d034387	Zm00001d013098
Sobic.001G062700		
Sobic.001G062750		
Sobic.001G062800	Zm00001d034384	
Sobic.001G062900	Zm00001d034383	
Sobic.001G063000		Zm00001d013099
Sobic.001G063100	Zm00001d034380	Zm00001d013100
Sobic.001G063200	Zm00001d034379	Zm00001d013104
Sobic.001G063300	Zm00001d034376	Zm00001d013105
Sobic.001G063400		Zm00001d013107
Sobic.001G063500	Zm00001d034373	Zm00001d013108
Sobic.001G063600	Zm00001d034372	Zm00001d013109
Sobic.001G063700	Zm00001d034371	
Sobic.001G063800		
Sobic.001G063900	Zm00001d034369	Zm00001d013110
Sobic.001G064000		
Sobic.001G064200		
Sobic.001G064300		
Sobic.001G064400		
Sobic.001G064500	Zm00001d034368	Zm00001d013111
Sobic.001G064600	Zm00001d034366	Zm00001d013112
Sobic.001G064700		
Sobic.001G064800		Zm00001d013113
Sobic.001G064900	Zm00001d034365	Zm00001d013114
Sobic.001G065000	Zm00001d034364	
Sobic.001G065100	Zm00001d034361	Zm00001d013116
Sobic.001G065150		
Sobic.001G065200		Zm00001d013117
Sobic.001G065300	Zm00001d034360	
Sobic.001G065400		
Sobic.001G065500	Zm00001d034359	Zm00001d013118
Sobic.001G065600		
Sobic.001G065700	Zm00001d034358	
Sobic.001G065800	Zm00001d034356	
Sobic.001G065900	Zm00001d034356	
Sobic.001G066000	Zm00001d034356	
Sobic.001G066100	Zm00001d034353	Zm00001d013119
Sobic.001G066300	Zm00001d034351	
Sobic.001G066400	Zm00001d034350	
Sobic.001G066500	Zm00001d034350	
Sobic.001G066600		
Sobic.001G066700	Zm00001d034346	
Sobic.001G066800		
Sobic.001G066900		
Sobic.001G067000		Zm00001d013120
Sobic.001G067100	Zm00001d034345	
Sobic.001G067200	Zm00001d034344	
Sobic.001G067300	Zm00001d034343	
Sobic.001G067400	Zm00001d034341	
Sobic.001G067500	Zm00001d034340	
Sobic.001G067601	Zm00001d034339	
Sobic.001G067700	Zm00001d034338	
Sobic.001G067800		Zm00001d013127
Sobic.001G067850		
Sobic.001G067900	Zm00001d034337	Zm00001d013128
Sobic.001G068000		
Sobic.001G068066		
Sobic.001G068132		
Sobic.001G068200		
Sobic.001G068301	Zm00001d034298	Zm00001d013130
Sobic.001G068400		
Sobic.001G068500		
Sobic.001G068600		Zm00001d013133
Sobic.001G068700	Zm00001d034313	
Sobic.001G068800	Zm00001d034312	Zm00001d013124
Sobic.001G068901		
Sobic.001G069000		Zm00001d013135
Sobic.001G069100		
Sobic.001G069200	Zm00001d034307	
Sobic.001G069300		Zm00001d013136
Sobic.001G069400		Zm00001d013138
Sobic.001G069500	Zm00001d034318	
Sobic.001G069600	Zm00001d034317	
Sobic.001G069700	Zm00001d034319	
Sobic.001G069800		Zm00001d013139
Sobic.001G069900	Zm00001d034320	Zm00001d013140
Sobic.001G070000	Zm00001d034326	Zm00001d013141
Sobic.001G070100		Zm00001d013142
Sobic.001G070200	Zm00001d034330	Zm00001d013143
Sobic.001G070300	Zm00001d034331	Zm00001d013144
Sobic.001G070401		
Sobic.001G070500	Zm00001d034283	Zm00001d013146
Sobic.001G070600	Zm00001d034282	
Sobic.001G070700		Zm00001d013147
Sobic.001G070800	Zm00001d034279	
Sobic.001G070900	Zm00001d034278	Zm00001d013150
Sobic.001G071000	Zm00001d034277	Zm00001d013151
Sobic.001G071100	Zm00001d034270	
Sobic.001G071200		
Sobic.001G071250		
Sobic.001G071300		Zm00001d013153
Sobic.001G071400		
Sobic.001G071500	Zm00001d034266	
Sobic.001G071600	Zm00001d034263	
Sobic.001G071700	Zm00001d034257	
